Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type Reclassify,Partition
298.900,310.200,1654,31.100,158,0,"1","1_Training"
298.900,310.200,1498,50.200,160,0,"1","1_Training"
298.900,310.100,1587,30.200,162,0,"1","1_Training"
298.900,310.100,1473,42.600,164,0,"1","2_Testing"
298.900,310.200,1359,56.900,166,0,"1","1_Training"
299.000,310.300,1635,34.500,168,0,"2","1_Training"
299.000,310.300,1520,45.000,171,0,"1","1_Training"
299.000,310.300,1507,36.700,173,0,"1","1_Training"
299.000,310.300,1428,46.300,175,0,"1","1_Training"
299.000,310.300,1582,33.300,177,0,"2","2_Testing"
299.000,310.300,1929,24.400,180,0,"1","1_Training"
299.000,310.300,1540,38.100,182,0,"2","1_Training"
298.900,310.200,1362,53.000,185,0,"1","2_Testing"
298.900,310.100,1452,49.900,187,0,"3","1_Training"
298.900,310.100,1361,51.700,192,0,"1","1_Training"
298.800,310.100,1567,36.800,197,0,"3","2_Testing"
298.900,310.200,1411,46.500,202,0,"1","2_Testing"
298.800,310.200,1814,26.800,204,0,"1","1_Training"
298.800,310.100,1719,28.800,206,0,"2","1_Training"
298.800,310.200,1663,30.400,209,0,"3","1_Training"
298.900,310.200,1696,30.200,214,0,"1","1_Training"
298.900,310.200,1771,26.800,216,0,"3","1_Training"
299.000,310.300,1868,24.000,221,0,"1","1_Training"
299.000,310.300,1558,35.400,223,0,"2","1_Training"
298.900,310.300,1583,32.600,230,0,"1","2_Testing"
298.700,310.200,1613,36.000,0,0,"3","1_Training"
298.600,310.100,1721,27.200,5,0,"1","1_Training"
298.600,310.200,1668,31.500,7,0,"2","1_Training"
298.600,310.200,1569,36.300,10,0,"1","1_Training"
298.600,310.200,1328,50.500,12,0,"2","1_Training"
298.600,310.100,1596,33.000,15,0,"2","2_Testing"
298.500,310.200,1676,32.700,18,0,"1","2_Testing"
298.500,310.100,1809,28.900,20,0,"1","1_Training"
298.500,310.000,1804,26.100,22,0,"1","1_Training"
298.600,310.100,1533,33.900,24,0,"1","1_Training"
298.700,310.200,1717,27.300,26,0,"1","1_Training"
298.700,310.200,1363,45.500,28,0,"1","1_Training"
298.700,310.200,1402,45.900,30,0,"1","1_Training"
298.700,310.200,1436,47.500,32,0,"1","1_Training"
298.700,310.200,1525,43.700,34,0,"1","2_Testing"
298.700,310.200,1598,33.300,36,0,"2","1_Training"
298.600,310.100,1444,48.100,39,0,"2","1_Training"
298.600,310.000,1334,48.000,42,0,"1","1_Training"
298.600,310.000,1681,35.500,44,0,"2","2_Testing"
298.600,309.900,1593,37.400,47,0,"1","1_Training"
298.600,309.900,1461,45.700,49,0,"1","1_Training"
298.700,310.100,1693,31.900,51,0,"2","1_Training"
298.700,310.200,1404,50.300,54,0,"1","2_Testing"
298.800,310.200,1707,27.600,56,0,"3","2_Testing"
298.600,310.100,1458,41.900,61,0,"2","1_Training"
298.600,310.000,1517,41.200,64,0,"1","2_Testing"
298.700,310.100,1433,54.600,66,0,"1","2_Testing"
298.700,310.200,1566,33.100,68,0,"1","1_Training"
298.700,310.100,1676,33.500,70,0,"1","1_Training"
298.700,310.100,1368,56.800,72,0,"2","1_Training"
298.800,310.200,1581,37.500,75,0,"2","2_Testing"
298.800,310.300,1708,27.100,78,0,"3","1_Training"
298.700,310.300,1481,41.500,83,0,"2","1_Training"
298.700,310.300,1451,40.000,86,0,"1","1_Training"
298.700,310.300,1495,38.700,88,0,"2","1_Training"
298.800,310.300,1573,41.800,91,0,"2","1_Training"
298.800,310.300,1366,59.000,94,0,"2","1_Training"
298.800,310.300,1553,36.800,97,0,"1","2_Testing"
298.800,310.300,1528,37.100,99,0,"2","1_Training"
298.800,310.200,1527,31.200,102,0,"2","1_Training"
298.800,310.200,1461,46.700,105,0,"1","1_Training"
298.800,310.200,1455,44.900,107,0,"3","1_Training"
298.700,310.100,1620,34.800,112,0,"1","1_Training"
298.700,310.100,1786,27.700,114,0,"1","2_Testing"
298.800,310.200,1583,35.700,116,0,"2","1_Training"
298.800,310.100,1653,30.300,119,0,"1","1_Training"
298.900,310.200,1331,49.000,121,0,"2","1_Training"
298.900,310.300,1484,43.800,124,0,"1","2_Testing"
298.900,310.200,1603,36.100,126,0,"2","1_Training"
298.900,310.200,1445,40.000,129,0,"1","2_Testing"
298.900,310.100,1823,26.100,131,0,"1","1_Training"
298.900,310.100,1491,45.300,133,0,"3","1_Training"
298.900,310.200,1533,42.800,138,0,"1","2_Testing"
298.900,310.200,1409,54.800,140,0,"1","1_Training"
299.000,310.300,1494,46.600,144,0,"2","1_Training"
299.100,310.400,1594,33.300,147,0,"1","1_Training"
299.100,310.400,1527,44.000,149,0,"1","1_Training"
299.100,310.400,1452,39.700,151,0,"1","1_Training"
299.000,310.300,1483,39.200,153,0,"1","1_Training"
299.100,310.200,1569,38.200,155,0,"1","1_Training"
299.100,310.300,1472,46.600,157,0,"1","1_Training"
299.000,310.200,1533,43.500,159,0,"1","1_Training"
298.900,310.100,1366,62.700,161,0,"3","1_Training"
298.900,310.200,1532,37.700,166,0,"3","1_Training"
298.900,310.100,1313,56.800,171,0,"2","1_Training"
299.000,310.200,1372,48.000,174,0,"1","1_Training"
298.900,310.100,1555,40.600,176,0,"2","1_Training"
298.900,310.100,1394,42.700,179,0,"1","1_Training"
298.900,310.100,1442,48.000,181,0,"1","1_Training"
298.900,310.000,1564,33.800,183,0,"1","1_Training"
298.900,310.000,1452,48.900,185,0,"1","1_Training"
298.900,310.100,1466,42.500,187,0,"1","1_Training"
298.900,310.100,1469,53.200,189,0,"2","2_Testing"
298.900,310.100,1944,23.400,192,0,"1","2_Testing"
298.800,309.900,1415,53.200,194,0,"2","2_Testing"
298.700,309.800,1528,36.700,197,0,"2","1_Training"
298.700,309.800,1570,42.100,200,0,"2","1_Training"
298.700,309.900,1617,33.000,203,0,"1","1_Training"
298.700,309.900,2083,18.200,205,0,"2","1_Training"
298.700,309.900,1541,38.500,208,0,"1","2_Testing"
298.800,309.900,1320,47.400,210,0,"1","1_Training"
298.800,309.900,1495,35.200,214,0,"2","1_Training"
298.700,309.800,1589,31.800,217,0,"1","1_Training"
298.700,309.800,1530,35.500,0,0,"1","1_Training"
298.700,309.800,1539,33.400,2,0,"1","2_Testing"
298.700,309.700,1462,46.800,4,0,"1","1_Training"
298.600,309.700,1356,54.000,6,0,"1","1_Training"
298.700,309.700,1622,34.600,8,0,"2","1_Training"
298.700,309.800,1394,40.300,11,0,"1","2_Testing"
298.800,309.900,1568,33.700,13,0,"1","2_Testing"
298.900,310.000,1456,43.800,15,0,"2","1_Training"
298.900,310.000,1378,49.300,18,0,"1","1_Training"
298.900,309.900,1404,41.400,20,0,"2","1_Training"
298.800,309.800,1437,42.800,23,0,"1","1_Training"
298.800,309.800,1363,44.000,25,0,"1","1_Training"
298.800,309.800,1377,49.600,27,0,"2","1_Training"
298.800,309.900,1526,42.100,30,0,"3","1_Training"
298.800,309.800,1510,44.200,35,0,"3","1_Training"
298.800,309.900,1482,39.100,45,0,"1","2_Testing"
298.800,309.800,1534,37.000,47,0,"2","1_Training"
298.800,309.900,1741,27.700,50,0,"2","1_Training"
298.800,309.900,1550,38.800,53,0,"1","2_Testing"
298.800,310.000,1486,38.500,55,0,"2","2_Testing"
298.900,310.100,1602,38.200,58,0,"1","1_Training"
299.000,310.200,1477,37.900,60,0,"1","1_Training"
299.000,310.100,1618,29.200,62,0,"1","1_Training"
299.000,310.200,1628,35.800,64,0,"2","2_Testing"
299.000,310.300,1662,33.600,67,0,"2","2_Testing"
299.000,310.300,1657,31.000,70,0,"2","2_Testing"
299.000,310.400,1677,30.800,73,0,"3","2_Testing"
299.000,310.300,1447,39.900,78,0,"2","1_Training"
298.900,310.400,1831,25.400,81,0,"1","1_Training"
299.000,310.300,1584,34.400,83,0,"1","1_Training"
299.100,310.400,1450,40.900,85,0,"1","1_Training"
299.100,310.400,1428,46.900,87,0,"1","1_Training"
299.000,310.400,1382,53.000,89,0,"1","2_Testing"
299.000,310.300,1501,43.000,91,0,"1","1_Training"
299.000,310.300,1475,42.400,93,0,"1","1_Training"
298.900,310.300,1364,54.000,95,0,"1","1_Training"
299.000,310.300,1472,36.100,97,0,"1","2_Testing"
299.000,310.300,1437,47.800,99,0,"1","1_Training"
298.900,310.200,1491,45.100,101,0,"1","1_Training"
298.900,310.200,1706,27.600,103,0,"1","1_Training"
298.800,310.100,1607,39.500,105,0,"1","2_Testing"
298.800,310.000,1412,46.300,107,0,"1","1_Training"
298.700,309.800,1546,40.900,109,0,"1","2_Testing"
298.700,309.800,1365,50.500,111,0,"1","2_Testing"
298.600,309.800,1544,30.200,113,0,"1","1_Training"
298.600,309.800,1419,44.900,115,0,"2","1_Training"
298.600,309.800,1497,41.600,118,0,"1","1_Training"
298.500,309.700,1437,42.600,120,0,"1","1_Training"
298.500,309.600,1421,53.600,122,0,"1","2_Testing"
298.500,309.600,1438,44.500,124,0,"2","1_Training"
298.500,309.500,1315,48.900,127,0,"2","1_Training"
298.500,309.500,1366,61.900,130,0,"2","1_Training"
298.400,309.500,1519,35.400,133,0,"2","1_Training"
298.400,309.500,1692,28.300,136,0,"1","2_Testing"
298.300,309.400,1570,35.600,138,0,"1","1_Training"
298.300,309.400,1568,35.800,140,0,"1","1_Training"
298.200,309.300,1355,43.800,142,0,"1","2_Testing"
298.200,309.300,2056,18.700,144,0,"2","2_Testing"
298.200,309.200,1332,60.200,147,0,"2","1_Training"
298.100,309.100,1448,52.500,150,0,"2","1_Training"
298.000,308.900,1578,35.600,153,0,"1","1_Training"
298.000,309.000,1562,39.200,155,0,"2","1_Training"
298.100,309.000,1976,19.300,158,0,"2","1_Training"
298.200,309.200,1524,34.600,161,0,"2","1_Training"
298.200,309.100,1429,48.500,164,0,"1","1_Training"
298.200,309.100,1568,36.300,166,0,"1","1_Training"
298.200,309.000,1723,26.600,168,0,"2","1_Training"
298.200,309.000,1341,43.800,171,0,"1","1_Training"
298.100,308.900,1353,46.200,173,0,"2","1_Training"
298.000,308.800,1496,44.900,179,0,"1","2_Testing"
298.000,308.700,1377,48.500,181,0,"2","1_Training"
297.900,308.500,1383,44.600,184,0,"3","2_Testing"
298.000,308.700,1629,34.300,191,0,"1","2_Testing"
298.000,308.800,1790,27.200,193,0,"1","1_Training"
298.100,308.800,2206,16.300,195,0,"2","2_Testing"
298.000,308.700,2101,17.400,198,0,"2","2_Testing"
298.000,308.700,1436,48.200,201,0,"2","1_Training"
298.000,308.700,1462,48.200,204,0,"1","1_Training"
298.000,308.700,1771,26.200,206,0,"1","1_Training"
298.000,308.700,1506,47.000,208,0,"1","1_Training"
298.000,308.700,1626,36.700,210,0,"1","1_Training"
298.000,308.800,1610,33.700,212,0,"1","2_Testing"
298.000,308.600,1376,55.700,214,0,"2","1_Training"
298.000,308.600,1507,37.300,217,0,"2","2_Testing"
298.100,308.700,1547,38.900,0,0,"2","2_Testing"
298.100,308.700,1642,30.300,3,0,"1","2_Testing"
298.000,308.700,1503,36.300,5,0,"3","2_Testing"
298.100,308.700,1568,32.900,10,0,"1","1_Training"
298.100,308.800,1628,37.600,12,0,"2","1_Training"
298.200,308.900,1614,35.500,15,0,"2","2_Testing"
298.200,308.900,1278,54.000,18,0,"1","1_Training"
298.200,308.900,1408,38.800,20,0,"2","1_Training"
298.200,309.000,1371,55.700,23,0,"3","2_Testing"
298.200,308.900,1512,38.500,28,0,"2","1_Training"
298.300,309.100,1472,40.100,31,0,"1","2_Testing"
298.200,308.900,1585,34.300,33,0,"2","1_Training"
298.200,309.000,1562,37.700,36,0,"3","2_Testing"
298.300,309.000,1519,36.900,41,0,"1","1_Training"
298.200,309.000,1601,35.800,43,0,"1","1_Training"
298.200,309.000,2449,13.800,45,0,"1","1_Training"
298.100,309.000,1787,27.600,47,0,"1","1_Training"
298.100,309.100,1425,44.500,49,0,"3","1_Training"
298.100,309.000,1559,34.000,54,0,"1","1_Training"
298.100,309.000,1557,36.000,56,0,"1","1_Training"
298.100,309.000,1497,40.500,58,0,"1","1_Training"
298.100,309.000,1438,41.400,60,0,"3","1_Training"
298.100,308.900,1417,39.200,65,0,"2","2_Testing"
298.000,308.900,1339,51.400,68,0,"2","2_Testing"
298.000,308.800,1757,29.100,71,0,"1","2_Testing"
298.000,308.800,1581,36.100,73,0,"1","1_Training"
298.200,308.900,1326,54.400,75,0,"2","2_Testing"
298.400,309.100,1467,39.600,78,0,"2","1_Training"
298.400,309.100,1798,29.600,81,0,"1","1_Training"
298.500,309.200,1449,46.400,83,0,"2","1_Training"
298.400,309.100,1525,39.300,86,0,"2","1_Training"
298.400,309.000,2304,15.100,89,0,"1","1_Training"
298.300,308.900,1379,54.700,91,0,"1","1_Training"
298.400,308.900,1628,34.900,93,0,"1","2_Testing"
298.400,309.000,1474,52.700,95,0,"1","1_Training"
298.400,309.000,1544,38.800,97,0,"2","1_Training"
298.400,308.900,1391,48.400,100,0,"1","2_Testing"
298.300,308.900,1348,55.500,102,0,"1","1_Training"
298.300,308.800,1349,52.100,104,0,"2","1_Training"
298.400,308.900,1706,29.500,107,0,"1","1_Training"
298.400,308.900,1638,32.400,109,0,"1","1_Training"
298.400,308.800,1458,40.100,111,0,"1","2_Testing"
298.500,308.900,1781,27.800,113,0,"1","2_Testing"
298.500,308.800,1332,59.100,115,0,"1","2_Testing"
298.400,308.700,1584,31.700,117,0,"2","1_Training"
298.400,308.600,1491,42.000,120,0,"1","1_Training"
298.400,308.500,1398,47.100,122,0,"3","1_Training"
298.300,308.400,1585,30.600,127,0,"1","1_Training"
298.200,308.300,1476,43.500,129,0,"2","2_Testing"
298.200,308.300,1458,41.800,132,0,"1","1_Training"
298.200,308.400,1510,39.900,134,0,"2","1_Training"
298.200,308.400,1388,53.800,137,0,"1","1_Training"
298.200,308.300,2216,16.800,139,0,"1","2_Testing"
298.200,308.300,1402,51.000,141,0,"1","1_Training"
298.000,308.200,2090,19.000,143,0,"2","1_Training"
298.000,308.200,1459,42.100,146,0,"1","2_Testing"
298.000,308.100,1403,44.800,148,0,"2","1_Training"
298.100,308.200,1521,39.300,151,0,"1","1_Training"
298.200,308.200,1407,47.100,153,0,"1","2_Testing"
298.100,308.200,1654,35.300,155,0,"2","1_Training"
298.200,308.400,1452,43.500,158,0,"1","2_Testing"
298.300,308.400,1528,37.300,160,0,"1","2_Testing"
298.200,308.300,1230,59.600,162,0,"1","2_Testing"
298.200,308.200,1466,42.400,164,0,"1","1_Training"
298.200,308.200,1478,50.100,166,0,"1","1_Training"
298.200,308.300,2057,18.000,168,0,"1","2_Testing"
298.300,308.400,1490,41.700,170,0,"1","1_Training"
298.300,308.400,1484,43.400,172,0,"1","1_Training"
298.300,308.400,1593,37.000,174,0,"1","2_Testing"
298.300,308.300,1444,43.800,176,0,"1","2_Testing"
298.300,308.400,1444,47.500,178,0,"2","1_Training"
298.200,308.300,1560,33.000,181,0,"2","2_Testing"
298.100,308.300,1530,42.000,184,0,"3","1_Training"
298.200,308.300,1639,33.300,191,0,"2","1_Training"
298.200,308.300,1400,48.700,194,0,"1","2_Testing"
298.300,308.400,1486,44.200,196,0,"2","1_Training"
298.200,308.300,1448,43.300,199,0,"2","1_Training"
298.200,308.300,1688,32.000,202,0,"1","1_Training"
298.100,308.300,1453,41.500,204,0,"2","1_Training"
298.200,308.400,1497,37.700,207,0,"1","1_Training"
298.200,308.400,1355,49.400,209,0,"1","1_Training"
298.100,308.400,1592,38.200,211,0,"1","1_Training"
298.000,308.300,1544,34.700,213,0,"1","2_Testing"
298.000,308.200,1373,51.200,215,0,"2","1_Training"
298.000,308.100,1877,24.300,0,0,"1","1_Training"
297.900,308.100,1531,40.800,2,0,"1","2_Testing"
297.900,308.000,1501,36.700,4,0,"1","2_Testing"
297.900,308.000,1490,46.200,6,0,"1","1_Training"
297.800,307.800,1543,43.700,8,0,"2","2_Testing"
297.800,307.800,1597,38.200,11,0,"1","1_Training"
297.800,307.900,1600,33.500,13,0,"3","1_Training"
297.800,307.800,1622,32.100,18,0,"2","1_Training"
297.800,307.800,1452,39.800,21,0,"1","1_Training"
297.800,307.800,1396,42.500,23,0,"1","1_Training"
297.800,307.700,1505,39.700,25,0,"1","2_Testing"
297.800,307.800,1412,48.300,27,0,"1","1_Training"
297.800,307.700,1393,38.000,29,0,"1","1_Training"
297.700,307.700,1581,34.900,31,0,"1","2_Testing"
297.800,307.800,1573,37.900,33,0,"1","2_Testing"
297.800,307.900,1726,27.300,35,0,"2","1_Training"
297.900,307.900,1540,39.800,38,0,"2","1_Training"
297.900,308.000,1296,62.900,41,0,"1","1_Training"
297.800,307.900,1802,25.800,43,0,"2","2_Testing"
297.800,307.900,1447,48.600,46,0,"1","1_Training"
297.800,307.800,1662,30.700,48,0,"3","2_Testing"
297.800,307.800,1563,34.300,53,0,"1","1_Training"
297.900,307.800,1286,59.500,55,0,"1","1_Training"
297.900,307.700,1590,34.600,57,0,"1","2_Testing"
297.900,307.700,1492,43.700,59,0,"1","1_Training"
297.700,307.600,1844,21.900,61,0,"1","1_Training"
297.700,307.600,1538,38.300,63,0,"3","2_Testing"
297.700,307.600,1921,22.900,68,0,"1","1_Training"
297.800,307.800,1310,57.900,70,0,"2","1_Training"
297.900,307.800,1365,46.900,73,0,"1","1_Training"
297.900,307.800,1303,59.300,75,0,"2","2_Testing"
297.900,307.800,1499,37.500,78,0,"1","1_Training"
297.900,307.800,1451,38.200,80,0,"1","1_Training"
297.900,307.900,1336,54.400,82,0,"2","2_Testing"
297.900,307.900,1412,44.500,85,0,"1","1_Training"
298.000,308.000,1433,39.200,87,0,"1","1_Training"
297.900,307.900,1426,43.600,89,0,"1","1_Training"
297.900,307.900,1476,45.200,91,0,"1","1_Training"
297.900,307.900,1406,58.500,93,0,"3","2_Testing"
297.800,307.800,1383,56.500,98,0,"1","2_Testing"
297.900,307.800,1505,37.300,100,0,"1","1_Training"
297.900,307.800,1665,33.900,102,0,"1","1_Training"
297.900,307.800,1397,45.000,104,0,"1","1_Training"
297.900,307.800,1450,43.500,106,0,"2","1_Training"
298.000,307.800,1567,36.400,109,0,"1","1_Training"
298.000,308.000,1555,37.000,111,0,"2","1_Training"
298.000,307.800,1588,35.400,114,0,"3","1_Training"
298.000,307.800,1453,37.700,119,0,"1","1_Training"
298.000,307.800,1622,33.300,121,0,"1","1_Training"
297.900,307.800,1538,38.500,123,0,"1","1_Training"
297.900,307.700,1527,42.800,125,0,"2","2_Testing"
297.800,307.800,1761,28.900,128,0,"1","1_Training"
297.900,307.800,1373,50.200,130,0,"1","1_Training"
298.000,307.900,1482,37.800,132,0,"3","1_Training"
298.000,307.900,1417,51.000,137,0,"2","1_Training"
298.000,307.800,1414,51.700,140,0,"1","2_Testing"
297.900,307.800,1635,34.000,142,0,"3","1_Training"
298.000,307.800,1386,57.300,147,0,"1","1_Training"
298.200,308.100,1379,62.300,149,0,"1","2_Testing"
298.200,308.000,1577,35.900,151,0,"2","2_Testing"
298.200,308.100,1532,42.500,154,0,"1","1_Training"
298.100,308.000,1374,48.800,156,0,"2","1_Training"
298.100,308.000,1570,35.300,159,0,"3","1_Training"
298.100,308.000,1697,31.000,164,0,"1","1_Training"
298.200,308.000,1499,44.100,166,0,"1","1_Training"
298.200,308.000,1411,47.200,168,0,"2","2_Testing"
298.200,307.900,1462,45.500,171,0,"3","1_Training"
298.100,307.900,1759,28.600,176,0,"2","1_Training"
298.200,308.000,1535,38.000,179,0,"1","2_Testing"
298.200,307.900,1491,39.700,181,0,"3","1_Training"
298.200,307.900,1551,36.000,186,0,"1","1_Training"
298.200,307.900,1769,27.200,188,0,"1","1_Training"
298.200,307.900,1551,34.100,190,0,"1","1_Training"
298.200,307.900,1544,31.400,192,0,"1","1_Training"
298.200,307.800,1528,31.100,194,0,"1","1_Training"
298.100,307.900,1614,35.800,196,0,"1","1_Training"
298.100,307.800,1432,49.800,198,0,"1","2_Testing"
298.100,307.800,1384,43.700,200,0,"2","1_Training"
298.100,307.800,1540,37.800,203,0,"1","1_Training"
298.000,307.700,1407,43.900,205,0,"1","1_Training"
297.900,307.600,1418,43.000,207,0,"3","1_Training"
297.900,307.500,1647,30.800,212,0,"2","1_Training"
298.000,307.500,1644,32.800,215,0,"1","2_Testing"
298.000,307.500,1792,27.900,217,0,"1","1_Training"
297.900,307.400,1610,34.600,219,0,"2","2_Testing"
297.800,307.300,1804,26.000,222,0,"2","2_Testing"
297.900,307.400,1403,52.800,0,0,"2","1_Training"
297.800,307.300,1438,44.500,3,0,"1","1_Training"
297.900,307.300,1824,26.300,5,0,"1","1_Training"
297.900,307.300,1663,28.700,7,0,"3","1_Training"
297.900,307.300,1502,36.700,12,0,"1","1_Training"
297.900,307.400,1606,35.500,14,0,"1","1_Training"
297.900,307.500,1561,37.700,16,0,"1","1_Training"
297.900,307.400,1435,42.900,18,0,"2","1_Training"
297.900,307.500,1602,38.300,21,0,"1","1_Training"
298.100,307.600,1764,27.700,23,0,"2","1_Training"
298.000,307.500,1683,27.800,26,0,"3","1_Training"
298.000,307.500,1618,35.200,31,0,"1","1_Training"
298.000,307.600,1509,41.600,33,0,"1","2_Testing"
297.900,307.600,1550,39.000,35,0,"1","1_Training"
297.900,307.600,1519,44.000,37,0,"2","2_Testing"
297.900,307.600,1481,38.000,40,0,"1","1_Training"
298.100,307.700,1289,48.300,42,0,"1","2_Testing"
298.000,307.600,1844,23.800,44,0,"2","2_Testing"
298.000,307.700,1479,42.500,47,0,"1","1_Training"
298.000,307.700,1430,47.300,49,0,"1","2_Testing"
298.100,307.800,1636,36.700,51,0,"2","1_Training"
298.100,307.800,1503,44.700,54,0,"2","1_Training"
298.100,307.800,1608,32.600,57,0,"2","1_Training"
298.200,307.800,1521,42.900,60,0,"1","1_Training"
298.200,307.800,1439,41.600,62,0,"1","2_Testing"
298.200,307.800,1627,31.500,64,0,"1","2_Testing"
298.200,307.800,1749,26.100,66,0,"1","1_Training"
298.200,307.800,1530,35.900,68,0,"1","1_Training"
298.200,307.800,1355,51.300,70,0,"1","2_Testing"
298.300,307.900,1551,33.800,72,0,"1","1_Training"
298.200,307.800,1515,46.700,74,0,"1","2_Testing"
298.200,307.800,1388,48.600,76,0,"1","2_Testing"
298.200,307.800,1585,34.600,78,0,"1","2_Testing"
298.100,307.700,1523,37.700,80,0,"1","1_Training"
298.200,307.600,1369,54.500,82,0,"1","1_Training"
298.200,307.700,1681,31.000,84,0,"2","2_Testing"
298.200,307.700,1503,38.300,87,0,"1","1_Training"
298.200,307.700,1459,44.500,89,0,"1","2_Testing"
298.200,307.700,1688,32.400,91,0,"1","2_Testing"
298.200,307.700,1952,21.600,93,0,"2","1_Training"
298.200,307.800,2029,19.900,96,0,"1","1_Training"
298.300,307.800,1457,52.500,98,0,"2","2_Testing"
298.300,307.800,1392,50.400,101,0,"2","2_Testing"
298.300,307.800,1906,22.100,104,0,"1","2_Testing"
298.300,307.700,1602,33.400,106,0,"2","2_Testing"
298.300,307.700,1465,49.400,109,0,"1","1_Training"
298.300,307.700,1439,43.800,111,0,"2","1_Training"
298.300,307.800,1330,55.400,114,0,"2","2_Testing"
298.300,307.900,1485,42.000,117,0,"2","1_Training"
298.400,307.900,1700,28.200,120,0,"3","2_Testing"
298.400,308.000,1515,42.800,125,0,"1","1_Training"
298.500,308.100,1501,39.200,127,0,"2","1_Training"
298.400,308.000,1380,47.600,130,0,"1","2_Testing"
298.400,307.900,1544,35.900,132,0,"1","2_Testing"
298.400,307.900,1743,27.300,134,0,"1","1_Training"
298.400,307.900,1948,21.400,136,0,"3","1_Training"
298.500,307.900,1260,54.200,141,0,"3","1_Training"
298.500,307.900,1640,33.100,146,0,"2","2_Testing"
298.500,308.000,1363,49.200,149,0,"2","2_Testing"
298.500,308.000,1379,49.600,152,0,"1","2_Testing"
298.500,308.000,1713,25.800,154,0,"2","1_Training"
298.500,308.000,1461,51.900,157,0,"2","1_Training"
298.500,308.000,1624,29.800,160,0,"1","1_Training"
298.400,308.000,1526,41.100,162,0,"1","1_Training"
298.400,307.900,2381,14.200,164,0,"1","2_Testing"
298.300,307.700,1576,33.800,171,0,"1","2_Testing"
298.400,307.800,1617,31.600,173,0,"2","2_Testing"
298.300,307.600,1942,20.600,176,0,"1","1_Training"
298.200,307.600,1492,37.200,178,0,"1","1_Training"
298.200,307.500,1470,51.300,180,0,"1","1_Training"
298.000,307.400,1463,46.500,182,0,"2","1_Training"
298.000,307.300,1424,46.500,185,0,"1","1_Training"
298.100,307.400,1363,60.100,187,0,"2","1_Training"
298.100,307.400,1335,56.200,190,0,"2","1_Training"
298.100,307.400,1608,33.900,193,0,"1","1_Training"
298.000,307.400,1606,35.200,195,0,"3","2_Testing"
298.100,307.500,1684,33.100,200,0,"1","1_Training"
298.100,307.600,1950,20.300,202,0,"1","1_Training"
298.200,307.600,1460,48.600,204,0,"3","1_Training"
298.200,307.600,1318,55.700,0,0,"3","1_Training"
298.200,307.600,1368,51.800,5,0,"1","2_Testing"
298.300,307.700,1717,27.100,7,0,"2","1_Training"
298.300,307.700,1520,41.400,10,0,"2","1_Training"
298.300,307.800,1485,42.000,13,0,"2","1_Training"
298.400,307.900,1981,23.200,16,0,"1","1_Training"
298.400,307.900,1605,31.000,18,0,"3","1_Training"
298.400,307.900,1446,45.300,23,0,"1","1_Training"
298.400,308.000,1508,47.900,25,0,"1","1_Training"
298.500,308.000,1384,59.500,27,0,"1","1_Training"
298.500,308.000,1519,37.300,29,0,"2","1_Training"
298.500,308.000,1404,48.100,32,0,"1","1_Training"
298.500,308.100,1564,31.100,34,0,"1","2_Testing"
298.600,308.200,1555,36.800,36,0,"3","1_Training"
298.600,308.200,1325,54.000,41,0,"1","1_Training"
298.600,308.200,1488,44.000,43,0,"2","1_Training"
298.500,308.200,1595,32.300,46,0,"1","1_Training"
298.500,308.100,1662,28.600,48,0,"1","2_Testing"
298.400,308.000,1571,37.400,50,0,"1","1_Training"
298.300,308.000,1553,41.000,52,0,"3","1_Training"
298.200,308.000,1538,38.200,59,0,"1","2_Testing"
298.400,308.200,1618,33.000,61,0,"1","1_Training"
298.400,308.200,1364,45.900,63,0,"1","1_Training"
298.300,308.000,1442,47.300,65,0,"1","1_Training"
298.200,307.900,1847,23.600,69,0,"1","2_Testing"
298.100,307.800,1524,40.800,71,0,"1","2_Testing"
298.100,307.700,1445,48.000,73,0,"2","2_Testing"
298.100,307.800,1761,28.200,76,0,"1","2_Testing"
298.100,307.800,1514,43.500,78,0,"2","1_Training"
298.100,307.700,1498,38.300,81,0,"2","1_Training"
298.100,307.600,1542,37.100,84,0,"3","1_Training"
298.000,307.600,1508,41.800,89,0,"2","1_Training"
298.000,307.500,1431,52.900,92,0,"2","2_Testing"
298.000,307.500,1427,45.100,95,0,"2","2_Testing"
298.000,307.500,1524,36.300,98,0,"2","2_Testing"
298.000,307.500,1427,43.600,101,0,"2","1_Training"
298.100,307.600,1496,44.100,104,0,"3","1_Training"
298.100,307.700,1388,40.300,109,0,"1","1_Training"
298.100,307.700,1495,48.100,111,0,"1","1_Training"
298.100,307.700,1376,56.200,113,0,"3","2_Testing"
298.000,307.600,1593,32.200,118,0,"3","2_Testing"
298.000,307.600,1654,28.900,123,0,"1","1_Training"
298.100,307.700,1767,27.000,127,0,"1","2_Testing"
298.100,307.600,1364,53.800,129,0,"1","2_Testing"
298.100,307.800,1569,31.200,131,0,"2","2_Testing"
298.200,307.800,1476,36.800,134,0,"1","1_Training"
298.100,307.700,1479,45.000,136,0,"1","1_Training"
298.100,307.700,1650,34.100,138,0,"1","1_Training"
298.100,307.600,1565,36.300,140,0,"2","2_Testing"
298.100,307.600,1460,46.500,143,0,"1","1_Training"
298.100,307.700,1664,27.600,145,0,"1","1_Training"
